link_id	nodes
706	615889,615847
707	615847,615890
708	694231,694303
709	691160,692024
710	696544,697456
711	695831,695865
712	695865,697390
713	704419,704428
714	704428,704046
715	704046,703943
716	703943,703105
717	703105,702257
718	719249,719235
719	709996,709978
720	709978,709865
721	717753,717040
722	703065,703806
723	703806,705851
724	703610,703806
725	673698,673567
726	645652,645534
727	644615,645534
728	645534,646753
729	628586,628596
730	628257,628596
731	628596,628518
732	628518,628257
733	628627,628518
734	628257,627829
735	625805,625785
736	625761,625750
737	625785,625777
738	625777,625761
739	622804,622800
740	622800,622783
741	618009,618024
742	617159,617715
743	617715,617871
744	617871,618009
745	616750,617159
746	617159,616999
747	616999,616432
748	616432,616416
749	618009,618257
750	618257,619010
751	619027,618955
752	619010,619059
753	619059,619027
754	618571,619005
755	619005,619010
756	617693,617941
757	619005,618571
758	618571,618257
759	618257,618153
760	618041,618018
761	618068,618063
762	618063,618041
763	618018,618010
764	618010,617996
765	617996,618000
766	618000,618034
767	618034,618068
768	617715,617524
769	617871,618304
770	619116,618915
771	618915,618877
772	618622,618779
773	618943,618970
774	618779,618877
775	618877,618943
776	632915,633951
777	635686,633951
778	633951,633862
779	635199,635686
780	635686,635822
781	611498,611221
782	611221,611037
783	610913,611221
784	610549,610727
785	610727,610913
786	610913,611102
787	611685,611739
788	645307,645383
789	645383,645457
790	645376,645305
791	645305,645247
792	652880,652878
793	652878,652911
794	652882,652880
795	652889,652884
796	652884,652881
797	652881,652882
798	652662,652667
799	652667,652669
800	652743,652746
801	652748,652752
802	652746,652745
803	652745,652748
804	630394,630221
805	630609,630449
806	630449,630394
807	643917,643992
808	643992,644087
809	644087,644183
810	787801,787653
811	787844,787999
812	787571,787759
813	787256,787389
814	787389,787571
815	907102,907251
816	906791,906977
817	906977,907102
818	882958,883624
819	883878,883144
820	704971,705136
821	705136,705108
822	704545,704531
823	704531,704547
824	704547,704714
825	704714,704986
826	704438,703896
827	704505,704364
828	705166,704531
829	704547,703625
830	704620,704714
831	705025,705179
832	705179,705179
833	703724,703397
834	703614,703378
835	703557,703978
836	732543,732323
837	731548,732833
838	733693,733921
839	731296,732251
840	732251,732731
841	732731,733693
842	732377,732387
843	732387,732251
844	733921,732833
845	732833,732731
846	734925,733693
847	673799,673566
848	674248,674004
849	674349,674317
850	674317,674248
851	674004,673960
852	673960,673799
853	674285,674410
854	674349,674457
855	674252,674285
856	674285,674349
857	674876,674981
858	674744,674803
859	674803,674876
860	674511,674631
861	674631,674744
862	674976,676239
863	1046728,1046825
864	1046825,1047099
865	1047099,1046862
866	1046862,1046768
867	1047665,1048152
868	1047099,1047147
869	1047147,1047665
870	1048599,1048678
871	1048678,1049197
872	822160,822250
873	822324,822266
874	823079,822895
875	823448,823249
876	823249,823079
877	818376,818477
878	818400,818328
879	815489,815293
880	815434,815592
881	801409,801217
882	802214,802198
883	802198,801909
884	802477,802472
885	802472,802458
886	802780,802686
887	802686,802648
888	802458,802425
889	802481,802477
890	801502,801417
891	802617,802604
892	801641,801502
893	802425,802369
894	802648,802620
895	802620,802617
896	802546,802481
897	802604,802602
898	802602,802546
899	801417,801415
900	801415,801203
901	802369,802293
902	802293,802214
903	801909,801843
904	801843,801641
905	801578,801855
906	801383,801514
907	802922,802864
908	803055,802989
909	802989,802955
910	802955,802922
911	802817,802780
912	802864,802836
913	802836,802817
914	812328,812509
915	812344,812167
916	689444,689496
917	688710,689444
918	687799,688133
919	688133,688433
920	688433,688710
921	689528,689628
922	689628,689914
923	687861,687947
924	692423,691218
925	691218,691008
926	700736,701399
927	700377,700394
928	697506,697436
929	698947,698850
930	698275,698260
931	699059,699074
932	711382,711309
933	712626,712263
934	712263,711382
935	711298,711382
936	712263,712311
937	712263,713575
938	711224,711202
939	711202,711109
940	711281,711297
941	711661,711958
942	712783,712506
943	712506,712318
944	711474,711469
945	710510,710334
946	713680,713705
947	713825,713680
948	714112,714084
949	714084,713825
950	714084,714292
951	713825,713078
952	714112,714467
953	714467,714340
954	817050,817121
955	817893,817946
956	817229,817893
957	817121,817229
958	817042,816926
959	817878,817804
960	817804,817164
961	817164,817042
962	777038,779196
963	781581,781609
964	1047784,1047824
965	1047824,1048152
966	1047010,1047417
967	1047417,1047784
968	1046373,1047417
969	617584,617898
970	617898,618053
971	771306,771953
972	771953,772552
973	772552,772733
974	771518,771949
975	771949,772498
976	772498,772867
977	771949,771953
978	772498,772552
979	772858,773624
980	1055273,1055253
981	1055100,1054650
982	1055383,1055297
983	1055529,1055437
984	1055437,1055383
985	1055297,1055273
986	1046460,1046928
987	1046008,1046460
988	1045480,1045646
989	1045646,1046008
990	1049458,1049729
991	1046928,1047184
992	1047184,1047444
993	1049151,1049233
994	1047444,1047869
995	1047869,1047941
996	1047941,1048446
997	1049022,1049056
998	1049056,1049151
999	1048446,1048522
1000	1048446,1048522
